Route,Direction,StopOrder,StopID,PercentDone,ID
151,OB,17,2094,46.19,816
151,OB,18,1406,48.27,817
151,OB,19,1407,49.91,818
151,OB,20,1409,51.2,819
151,OB,21,2095,53.16,820
151,OB,22,2096,54.76,821
151,OB,23,2097,55.86,822
151,OB,24,2099,58.06,823
151,OB,25,2101,59.42,824
151,OB,26,2102,61.52,825
151,OB,27,2726,63.31,826
151,OB,28,2727,63.96,827
151,OB,29,2105,64.95,828
151,OB,30,6140,66.8,829
151,OB,31,6144,68.29,830
151,OB,32,6145,70.57,831
151,OB,33,6146,71.77,832
151,OB,34,6147,72.95,833
151,OB,35,6149,75.8,834
151,OB,36,6150,77.59,835
151,OB,37,6143,78.97,836
151,OB,38,6011,80.92,837
151,OB,39,2133,82.49,838
151,OB,40,6244,84.18,839
151,OB,41,2134,85.4,840
151,OB,42,2135,85.96,841
151,OB,43,2164,87,842
151,OB,44,2165,88.35,843
151,OB,45,2166,88.81,844
151,OB,46,4545,91.13,845
151,OB,47,4552,92.74,846
151,OB,48,4554,93.25,847
151,OB,49,7016,95.66,848
151,OB,50,4619,100,849
15A,OB,1,395,-0.02,850
15A,OB,2,396,2.32,851
15A,OB,3,397,5.15,852
15A,OB,4,398,7.14,853
15A,OB,5,399,8.7,854
15A,OB,6,400,12.4,855
15A,OB,7,7581,24.5,856
15A,OB,8,1283,29.82,857
15A,OB,9,7579,34.62,858
15A,OB,10,1285,39.97,859
15A,OB,11,1016,45.78,860
15A,OB,12,1017,48.62,861
15A,OB,13,1018,50.34,862
15A,OB,14,1019,51.53,863
15A,OB,15,1020,52.98,864
15A,OB,16,1076,55.21,865
15A,OB,17,1077,58.01,866
15A,OB,18,1078,60.23,867
15A,OB,19,1079,62.4,868
15A,OB,20,1080,63.67,869
15A,OB,21,1081,65.58,870
15A,OB,22,1082,68.4,871
15A,OB,23,1083,69.53,872
15A,OB,24,1085,72.44,873
15A,OB,25,1086,76.03,874
15A,OB,26,1087,77.76,875
15A,OB,27,1088,79.2,876
15A,OB,28,1089,80.73,877
15A,OB,29,1090,84.01,878
